"treeID","lat","lon","y","x","code8","genus","species","crown","dbh","elev","slope","swale","code2","crown_2008","crown_2016","dbh_2008","dbh_2012","dbh_2016","scientific"
1437,40.664705424523,-77.9034935791702,147841.5456,587021.0096,"quercusRubra","Quercus","rubra",2,"51.6","283.56912599999998","S","P","QURU","D","CD",46.99,"48.7","51.6","Quercus rubra"
1438,40.6647536783602,-77.9034746832139,147846.9011,587022.6167,"quercusRubra","Quercus","rubra",1,"40.799999999999997","283.06536499999999","S","P","QURU","D","D",38.354,"40.1","40.799999999999997","Quercus rubra"
1439,40.6646998140695,-77.903520824854,147840.9266,587018.7047,"quercusRubra","Quercus","rubra",2,"28.7","283.01835299999999","S","P","QURU","CD","CD",27.686,"28.4","28.7","Quercus rubra"
1440,40.664661548474,-77.9035408729805,147836.6804,587017.0021,"quercusRubra","Quercus","rubra",2,"31.7","283.001441","S","P","QURU","CD","CD",30.48,"31.1","31.7","Quercus rubra"
1441,40.6646386175878,-77.9035233685363,147834.1315,587018.4778,"quercusPrinus","Quercus","prinus",2,"36","283.70451200000002","S","P","QUPR","CD","CD",32.766,"34","36","Quercus prinus"
1442,40.6646152234467,-77.9034809686698,147831.5275,587022.0585,"quercusPrinus","Quercus","prinus",2,"37.799999999999997","285.119483","S","P","QUPR","CD","CD",36.068,"37.299999999999997","37.799999999999997","Quercus prinus"
1443,40.6646289946755,-77.9034214772552,147833.047965,587027.091587,"quercusRubra","Quercus","rubra",1,"40.6","286.56198899999998","S","P","QURU","D","D",38.1,"39.799999999999997","40.6","Quercus rubra"
1444,40.6646442210147,-77.9033704708478,147834.73126,587031.407484,"quercusPrinus","Quercus","prinus",2,"35","287.765714","S","P","QUPR","CD","CD",32.512,"34.1","35","Quercus prinus"
1445,40.664559118805,-77.9033720535027,147825.281442,587031.257247,"caryaGlabra","Carya","glabra",2,"24.7","288.55311399999999","S","P","CAGL","D","CD",23.368,"24.3","24.7","Carya glabra"
1446,40.6645695996849,-77.9034533450264,147826.457217,587024.385476,"quercusRubra","Quercus","rubra",2,"34.4","286.422056","S","P","QURU","CD","CD",32.004,"33.700000000000003","34.4","Quercus rubra"
1447,40.6645427053736,-77.9034677895044,147823.4729,587023.1589,"quercusPrinus","Quercus","prinus",2,"32","285.57370400000002","S","P","QUPR","CD","CD",30.226,"31.2","32","Quercus prinus"
