"","treeID","gridID","x","y","dbh","code2","cd2_gss","l/d","nt_2021","notes","scintfc","genus","species","code8","geometry"
"69",71,104,584180.2004,148742.3678,13.716,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584180.2004, 148742.3678)
"70",72,104,584175.0125,148744.8546,20.066,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584175.0125, 148744.8546)
"71",73,104,584176.1462,148741.0745,45.466,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584176.1462, 148741.0745)
"72",74,104,584171.712,148735.3706,20.32,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584171.712, 148735.3706)
"73",75,104,584171.7342,148738.6513,60.452,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584171.7342, 148738.6513)
"74",76,104,584166.1194,148735.241,70.358,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584166.1194, 148735.241)
"75",77,104,584170.9864,148744.7285,18.034,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584170.9864, 148744.7285)
"76",79,104,584161.4204,148745.0023,39.37,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584161.4204, 148745.0023)
"77",80,104,584170.1334,148747.5232,59.944,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584170.1334, 148747.5232)
"78",81,104,584171.217,148750.0571,32.512,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584171.217, 148750.0571)
"79",82,104,584166.1077,148758.2647,21.082,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584166.1077, 148758.2647)
"80",83,105,584195.307,148786.1436,12.446,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584195.307, 148786.1436)
